part,topology,cell,facets,watertight,f_meshed,f_analytic,dF
rectilinear_f40_c0.01.stl,rectilinear,0.01,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c0.01.stl,gyroid,0.01,92356,True,0.3997,0.4003,-0.0015
rectilinear_f40_c0.02.stl,rectilinear,0.02,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c0.02.stl,gyroid,0.02,92356,True,0.3997,0.4003,-0.0015
rectilinear_f40_c0.03.stl,rectilinear,0.03,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c0.03.stl,gyroid,0.03,92356,True,0.3997,0.4003,-0.0015
rectilinear_f40_c0.05.stl,rectilinear,0.05,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c0.05.stl,gyroid,0.05,92356,True,0.3997,0.4003,-0.0015
rectilinear_f40_c0.1.stl,rectilinear,0.1,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c0.1.stl,gyroid,0.1,92356,True,0.3997,0.4003,-0.0015
rectilinear_f40_c0.2.stl,rectilinear,0.2,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c0.2.stl,gyroid,0.2,92356,True,0.3997,0.4003,-0.0015
rectilinear_f40_c0.5.stl,rectilinear,0.5,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c0.5.stl,gyroid,0.5,92356,True,0.3997,0.4003,-0.0015
rectilinear_f40_c1.stl,rectilinear,1.0,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c1.stl,gyroid,1.0,92356,True,0.3997,0.4003,-0.0015
rectilinear_f40_c2.stl,rectilinear,2.0,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c2.stl,gyroid,2.0,92356,True,0.3997,0.4003,-0.0015
rectilinear_f40_c3.stl,rectilinear,3.0,100720,True,0.3991,0.3982,0.0022
gyroid_f40_c3.stl,gyroid,3.0,92356,True,0.3997,0.4003,-0.0015
